sku,product_name,shop,category_id,category_name,priceexclvat,priceinclvat,unitcostonline,quantity,date_available,gen_prod_posting_group,assortment
535.42.9160.9,Thermex KF60 ,FOETEX,110299,Tilbehør til emhætter,292,365,218.89,6,,SDA,2
540.23.1668.0,Thermex Mini Preston II 600 ,FOETEX,110207,Væghængte emhætter,9596,11995,4253.72,0,,MDA,9
540.23.1668.2,Thermex Mini Preston II 60 cm  Sort m/motor (ESP),FOETEX,110207,Væghængte emhætter,11116,13895,3951.03,0,,MDA,9
CCE3T618EB,Candy CCE3T618EB ,FOETEX,110703,Fritstående køle-fryseskabe,5999.2,7499,2324.69,0,,MDA,9
CI100EU,Ninja CI100EU 3-in-1 Blender Set,FOETEX,,,799.2,999,659.47,51,2026-05-13 00:00:00.000000,SDA,1
SW8AM2D_UW8F2D,Whirlpool SW8AM2DWHR & UW8F2DWHBIN,FOETEX,,,10798.4,13498,5691.29,0,2026-01-05 00:00:00.000000,MDA,9
RR39C7_RZ32C7B,Samsung RR39C7BG7S9 & RZ32C7BF6S9,FOETEX,,,17198.4,21498,8802.47,9,2026-05-04 00:00:00.000000,MDA,10
B7IHF60TUS,Bauknecht B7IHF60TUS ,FOETEX,110903,Integrerbare opvaskemaskiner,9599.2,11999,3104.53,0,2025-09-25 00:00:00.000000,MDA,9
B8IHT58TS,Bauknecht B8IHT58TS ,FOETEX,110903,Integrerbare opvaskemaskiner,8636,10795,2906.69,0,2026-06-05 00:00:00.000000,MDA,1A
ELICA-5019,EICO Eico NikolaTesla Prime S+  BL/A/83,FOETEX,110508,Kogeplade med indbygget emhætte,19196,23995,10408.37,0,2023-11-09 00:00:00.000000,MDA,9
ELICA-5020,EICO Eico NikolaTesla Prime S+  BL/F/83,FOETEX,110508,Kogeplade med indbygget emhætte,20796,25995,10832.09,0,2023-10-02 00:00:00.000000,MDA,9
WFN801,Frigor WFN801 ,FOETEX,111401,Frontbetjente vaskemaskiner,6396,7995,1594.85,0,2026-01-16 00:00:00.000000,MDA,9
WFN901,Frigor WFN901 ,FOETEX,111401,Frontbetjente vaskemaskiner,7996,9995,1777.33,0,2025-12-15 00:00:00.000000,MDA,9
KE4541IN,Blomberg KE4541IN ,FOETEX,110704,Integrerbare køle-fryseskabe,7999.2,9999,2434.01,0,2026-06-09 00:00:00.000000,MDA,1A
OOB301NX,Electrolux OOB301NX ,FOETEX,111002,Indbygningsovne,3919.2,4899,2145.01,0,2025-04-21 00:00:00.000000,MDA,9
