"sku","product_name","shop","category_id","category_name","priceexclvat","priceinclvat","unitcostonline","stock_location","quantity","date_available","gen_prod_posting_group","assortment"
"RCSA366K40WN","Beko RCSA366K40WN ","FOETEX","110703","Fritstående køle-fryseskabe","6399.2","7999.0","2251.5","LOG-PCN","92","2025-09-18 00:00:00.000000","MDA","1"
"MG7Z2593B","LG MG7Z2593B ","FOETEX","111103","Indbygningsmikrobølgeovne","4799.2","5999.0","1530.05","LOG-PCN","86","2026-01-27 00:00:00.000000","MDA","1"
"YT971.1000.70","Silverline kulfilter 10 ","TRETNO","110299","Tilbehør til ventilatorer","632.0","790.0","409.31","LOG-PCN","0","2015-10-23 00:00:00.000000","SDA","2"
"535.21.3031.9","Thermex KF 80 - kulfiltersæt ","ENEMO","110299","Tillbehör till köksfläktar","959.2","1199.0","906.33",,"0",,"SDA","2"
"EICO-6330","EICO Era 80 Grey ","SKOUNO","110204","Innebygde ventilatorer","1999.2","2499.0","2009.71","LOG-PCN","0","2024-05-03 00:00:00.000000","MDA","2"
"MI-11518970","Miele CSAD7001 Cover ","TRETNO","110299","Tilbehør til ventilatorer","1759.2","2199.0","1597.9",,"0",,"SDA","2"
"WAN2829WSN","Bosch WAN2829WSN Serie 4 ","SKOUNO","111401","Frontmatede vaskemaskiner","10239.2","12799.0","7073.88",,"0",,"MDA","2"
"EICO-5940","EICO TAMAYA 2.0 S IX/A/90 ","NO","110207","Vegghengte ventilatorer","5199.2","6499.0","3493.34","LOG-PCN","1","2026-01-28 00:00:00.000000","MDA","2"
"T733609","Narwal Freo Z Ultra (grey) ","NO","111204","Robotstøvsugere","9592.0","11990.0","5009.37","LOG-PCN","10","2025-08-04 00:00:00.000000","SDA","1"
"MI-11724560","Miele Accessory Holder HX-AH ","TRETSE","111299","Tillbehör till dammsugare","104.0","130.0","127.53",,"17","2023-02-13 00:00:00.000000","SDA","1"
"EICO-5629","EICO CYLINDRA I X EV8 ","DK","110203","Frithængende emhætter","8764.8","10956.0","6365.62","LOG-PCN","1","2026-03-19 00:00:00.000000","MDA","2"
"PRIN-115005","Princess Pizza Oven ","SE","18020304","Pizzaugnar","799.2","999.0","769.49",,"0","2026-04-08 00:00:00.000000","SDA","1"
"535.21.3031.9","Thermex KF 80 - kulfiltersæt ","TRETSE","110299","Tillbehör till köksfläktar","959.2","1199.0","900.79",,"0",,"SDA","2"
"EICO-6334","EICO Era C 80 X ","DK","110204","Indbygningsemhætter","2479.2","3099.0","1613.63","LOG-PCN","0","2023-11-09 00:00:00.000000","MDA","2"
"DBI3444IDA.W","ASKO DBI3444IDA.W ","DK","110905","Underbygningsopvaskemaskiner","7036.0","8795.0","3774.55","LOG-PCN","42","2025-03-31 00:00:00.000000","MDA","1"
"KG39NSBBF","Siemens KG39NSBBF iQ700 ","SKOU","110703","Fritstående køle-fryseskabe","12984.0","16230.0","11685.76",,"0",,"MDA","2"
"BIS-243011","Bissell SpotClean C9 Select ","DK","111210","Tæpperensere","1839.2","2299.0","1108.83","LOG-PCN","41","2025-12-17 00:00:00.000000","SDA","1"
"RHF21","Dreame Dust Box Filter ","DK","111299","Tilbehør til støvsuger","143.2","179.0","123.76","LOG-PCN","6","2026-01-28 00:00:00.000000","SDA","1"
"KG39EAWCA","Siemens KG39EAWCA iQ500 ","BILKA","110703","Fritstående køle-fryseskabe","4631.2","5789.0","4034.77","LOG-PCN","68","2025-09-23 00:00:00.000000","MDA","1"
"545.21.3068.2","Thermex Derby II 60 cm ","BILKA","110207","Væghængte emhætter","2173.6","2717.0","2173.44","LOG-PCN","0",,"MDA","2"
"520.42.5021.2","Thermex Manchester K501 70cm ","TRETNO","110204","Innebygde ventilatorer","1852.8","2316.0","1667.57","LOG-PCN","1","2020-02-06 00:00:00.000000","MDA","2"
"BOP6737E02BK","Gorenje BOP6737E02BK ","ENEMO","111002","Inbyggnadsugnar","8792.0","10990.0","3726.13","ESK","63","2025-02-14 00:00:00.000000","MDA","1"
"DC7784VS","Asko DC7784VS ","LPH","111304","Professionelle tørreskabe","10399.2","12999.0","7773.58","LOG-PCN","0","2024-07-22 00:00:00.000000","MDA","2"
"EICO-5629","EICO CYLINDRA I X EV8 ","TRETSE","110203","Frihängande köksfläktar","12396.0","15495.0","10027.25",,"0","2026-03-23 00:00:00.000000","MDA","2"
"NF-128389333","Nilfisk Hb38 kombimundstykke m. klik","SKOUNO","111299","Tilbehør til støvsugere","775.2","969.0","497.45","LOG-PCN","9",,"SDA","6"
"FAB5LRD6","SMEG FAB5LRD6 ","SKOUNO","110801","Frittstående kjøleskap","11439.2","14299.0","8186.79",,"0",,"MDA","2"
"S5898/35","Philips S5898/35 ","LPH","130201","Barbermaskiner","759.2","949.0","649.03","LOG-PCN","2","2025-10-27 00:00:00.000000","SDA","1"
"KG49NSBBF","Siemens KG49NSBBF iQ700 ","LPH","110703","Fritstående køle-fryseskabe","13688.8","17111.0","11680.86","LOG-PCN","0",,"MDA","2"
"FQ60XDAIE","SMEG Smeg FQ60XDAIE ","TRETSE","110101","Side-by-side","31039.2","38799.0","22719.56",,"0",,"MDA","2"
"527.23.3078.2","Thermex 527.23.3078.2 ","SKOU","110207","Væghængte emhætter","4944.0","6180.0","4449.71","LOG-PCN","0",,"MDA","2"
"100-TB301EU","Ninja Detect TB301EU Blender Pro + Single Serve 1200W","DK","120401","Blendere","1359.2","1699.0","1144.06","LOG-PCN","84","2025-06-11 00:00:00.000000","SDA","1"
"HZ633001","Siemens HZ633001  ","TRETNO","111099","Tilbehør til ovner","959.2","1199.0","785.12","LOG-PCN","32","2024-10-03 00:00:00.000000","SDA","2"
"GKIE30002","Bauknecht GKIE30002 ","ENEMO","110303","Integrerade frysskåp","13592.0","16990.0","6802.52","ESK","15","2024-12-30 00:00:00.000000","MDA","1"
"SMS4HVW00E","Bosch SMS4HVW00E ","ENEMO","110905","Underbyggda diskmaskiner","7516.0","9395.0","6896.86",,"0",,"MDA","2"
"NF-128390002","Nilfisk Easy 2:1   ","LPH","111209","Ledningsfri støvsugere","1439.2","1799.0","642.0","LOG-PCN","136","2024-12-25 00:00:00.000000","SDA","1"
"KFT7000","Miele KFT7000 FlexiTray 465x267mm","SKOUNO","110899","Tilbehør til kjøleskap","3199.2","3999.0","1953.15",,"0",,"SDA","2"
"GUN39S30WAD3","Blomberg GUN39S30WAD3 ","LPH","110905","Opvaskemaskiner","9519.2","11899.0","3540.77","LOG-PCN","19","2025-01-17 00:00:00.000000","MDA","1"
"GBG719MDNN","LG GBG719MDNN ","LPH","110703","Fritstående køle-fryseskabe","15999.2","19999.0","10270.17","LOG-PCN","1","2025-06-16 00:00:00.000000","MDA","1"
"SC211HDE","Scandomestic SC211HDE ","TRETSE","111901","Professionella kylskåp","11279.2","14099.0","6853.98",,"0","2022-01-28 00:00:00.000000","MDA","2"
"DC7784VS","Asko DC7784VS ","SKOU","111304","Tørreskabe","10399.2","12999.0","7778.48","LOG-PCN","0","2024-07-22 00:00:00.000000","MDA","2"
"DST5030/20","Philips DST5030/20 ","NO","180403","Strykejern","719.2","899.0","487.19","LOG-PCN","53","2025-12-01 00:00:00.000000","SDA","1"
"FR-6878","Tristar Deep Fryer ","NO","121002","Frityrkokere","719.2","899.0","479.1","LOG-PCN","1","2025-12-22 00:00:00.000000","SDA","1"
"MO20FRW","Frigor MO20FRW ","NO","111102","Frittstående mikroovner","1039.2","1299.0","452.1","LOG-PCN","222","2026-02-20 00:00:00.000000","SDA","1"
"KSM4525SNF","Blomberg KSM4525SNF ","NO","110703","Frittstående kombiskap","8799.2","10999.0","4132.92","LOG-PCN","213","2025-08-21 00:00:00.000000","MDA","1"
"EICO-5940","EICO TAMAYA 2.0 S IX/A/90 ","TRETSE","110207","Vägghängda köksfläktar","5039.2","6299.0","3206.43",,"0","2026-01-30 00:00:00.000000","MDA","2"
"FAB10HLRD6","SMEG Smeg FAB10HLRD6 ","SE","110801","Fristående kylskåp","9335.2","11669.0","9334.92",,"0",,"MDA","2"
"KI86NNSE0","Siemens KI86NNSE0 iQ100 ","SE","110704","Integrerade kyl-frysar","10235.2","12794.0","8650.43",,"0","2025-12-01 00:00:00.000000","MDA","2"
"NC302EU","Ninja Ismaskine NC302EU ","SKOU","1212","Ismaskiner & slushicemaskiner","1599.2","1999.0","972.37","LOG-PCN","261","2025-11-24 00:00:00.000000","SDA","1"
"BBZGALLECO","Bosch Vacuum cleaner dustbag,  Type G ALL eco","DK","111207","Støvsugerposer","159.2","199.0","101.64","LOG-PCN","22","2025-09-24 00:00:00.000000","SDA","1"
"EICO-5940","EICO TAMAYA 2.0 S IX/A/90 ","BILKA","110207","Væghængte emhætter","2684.8","3356.0","2113.53","LOG-PCN","1","2026-01-28 00:00:00.000000","MDA","2"
"LZ12410","Siemens LZ12410  adapter til skråtak (f/b)","NO","110299","Tilbehør til ventilatorer","775.2","969.0","1232.31","LOG-PCN","0","2021-04-12 00:00:00.000000","SDA","2"
"LZ12410","Siemens LZ12410  Adapter til frith emfang","DK","110299","Tilbehør til emhætter","1199.2","1499.0","800.32","LOG-PCN","0","2021-04-12 00:00:00.000000","SDA","2"
"CB-140991","Char-Broil Evolve Gas ","TRETNO","180802","Gassgriller","6799.2","8499.0","5555.31","LOG-PCN","1","2024-05-23 00:00:00.000000","MDA","1"
"EICO-2227","EICO-2227 5 M Wirer og Ledning ","DK","110299","Tilbehør til emhætter","2639.2","3299.0","1587.99","LOG-PCN","0","2019-09-04 00:00:00.000000","SDA","2"
"TURA-242470","Taurus Nepal elektrisk panel Radiator 2000W","LPH","160105","Radiatorer","839.2","1049.0","715.81","LOG-PCN","31","2025-12-17 00:00:00.000000","SDA","1"
"NRK619EPW4","Gorenje NRK619EPW4 ","NO","110703","Frittstående kombiskap","6399.2","7999.0","4321.92","LOG-PCN","57","2026-04-06 00:00:00.000000","MDA","1"
"GV9812E0","Tefal Pro Express Vision ","TRETSE","180403","Strykjärn","4799.2","5999.0","2936.03",,"3","2025-11-21 00:00:00.000000","SDA","1"
"EW7W6661S8","Electrolux EW7W6661S8 ","TRETSE","111403","Kombinerad tvätt/tork","10392.0","12990.0","7479.86","ESK","20","2024-10-31 00:00:00.000000","MDA","1"
"876283-SE","Broil King Baron 590 ","SE","180802","Gasolgrillar","11999.2","14999.0","11235.21","ESK","2","2025-04-07 00:00:00.000000","MDA","1"
"KG39NSBBF","Siemens KG39NSBBF iQ700 ","TRETSE","110703","Fristående kyl-frysar","20892.0","26115.0","18802.87",,"0",,"MDA","2"
"RAWDH6","RAW Dehydrator, 6 hylder ","SKOU","1233","Dehydrators","1039.2","1299.0","451.95","LOG-PCN","3","2025-11-10 00:00:00.000000","SDA","1"
"535.21.8600.9","Kulfilter Vertical 2 80 cm ","ENEMO","110299","Tillbehör till köksfläktar","440.8","551.0","396.38","ESK","52","2025-03-24 00:00:00.000000","SDA","2"
"VS52083-90B","GRAM VS52083-90 B ","ENEMO","1115","Vinkylar","4519.2","5649.0","4518.92",,"0","2024-09-19 00:00:00.000000","MDA","2"
"KG39EAWCA","Siemens KG39EAWCA iQ500 ","SKOUNO","110703","Frittstående kombiskap","8072.0","10090.0","7295.29","LOG-PCN","68","2025-09-23 00:00:00.000000","MDA","1"
"EICO-6270","Eico kulfilter ","LPH","110299","Tilbehør til emhætter","264.0","330.0","237.81","LOG-PCN","4",,"SDA","2"
"FQ60XDAIE","SMEG Smeg FQ60XDAIE ","TRETNO","110101","Side-by-side","31839.2","39799.0","23027.39",,"0",,"MDA","2"
"MI-11724560","Miele Accessory Holder HX-AH ","SKOUNO","111299","Tilbehør til støvsugere","135.2","169.0","247.37","LOG-PCN","17","2023-02-10 00:00:00.000000","SDA","1"
"HMF01PKEU","Smeg HMF01PKEU ","NO","1211","Håndmiksere","1246.4","1558.0","1308.62","LOG-PCN","6","2026-01-28 00:00:00.000000","SDA","1"
"HEZ9FF040","Bosch HEZ9FF040  ","NO","110699","Tilbehør til komfyrer","3199.2","3999.0","2494.45","LOG-PCN","5","2026-01-29 00:00:00.000000","SDA","2"
"DBI3444IDA.W","ASKO DBI3444IDA.W ","TRETSE","110905","Underbyggda diskmaskiner","15192.0","18990.0","6432.04",,"36","2025-03-31 00:00:00.000000","MDA","1"
"WIP60SQW4","Witt WIP60SQW4 ","TRETSE","110504","Induktionshällar","14399.2","17999.0","6421.81",,"10","2025-01-16 00:00:00.000000","MDA","1"
"LEVOIT-66371","LEVOIT Top Fill Humidifier Replacement Filters","TRETSE","160498","Tillbehör till fläkt & luftvård","159.2","199.0","156.37",,"3","2025-05-26 00:00:00.000000","SDA","1"
"BC151EUBK","Ninja BC151EUBK ","DK","120401","Blendere","352.8","441.0","370.52","LOG-PCN","15","2025-09-29 00:00:00.000000","SDA","1"
"CB-140995","Char-Broil Gas2Coal Special Edition 4","DK","180802","Gasgrill","3039.2","3799.0","2272.49","LOG-PCN","597","2025-01-16 00:00:00.000000","MDA","1"
"RCSA366K40XBN","Beko RCSA366K40XBN ","DK","110703","Fritstående køle-fryseskabe","2799.2","3499.0","2486.82","LOG-PCN","38","2025-03-10 00:00:00.000000","MDA","1"
"RCSA366K40XBN","Beko RCSA366K40XBN ","FOETEX","110703","Fritstående køle-fryseskabe","7199.2","8999.0","2458.82","LOG-PCN","38","2025-03-10 00:00:00.000000","MDA","1"
"520.42.5021.2","Thermex Manchester K501 70cm ","LPH","110204","Indbygningsemhætter","1043.2","1304.0","938.91","LOG-PCN","1","2020-02-06 00:00:00.000000","MDA","2"
"KFT7000","Miele KFT7000 FlexiTray 465x267mm","TRETNO","110899","Tilbehør til kjøleskap","3199.2","3999.0","1953.15",,"0",,"SDA","2"
"SV124X","Scandomestic SV124X ","SKOUNO","1115","Vinkjøleskap","21039.2","26299.0","12808.65","LOG-PCN","1","2022-03-22 00:00:00.000000","MDA","2"
"DH2025","Fritel DH 2025 ","TRETSE","1233","Svamp- och frukttorkar","639.2","799.0","493.1",,"26","2025-09-29 00:00:00.000000","SDA","1"
"GLE71SWC_GFE61SWC","GLE71SWCSZ + GFE61SWCSZ Hvid","NO","111801","Pakketilbud - kjøleskap og frysere","21598.4","26998.0","10556.43",,"36","2026-02-11 00:00:00.000000","MDA","10"
"RHF21","Dreame Dust Box Filter ","SE","111299","Tillbehör till dammsugare","255.2","319.0","199.78",,"6","2026-02-02 00:00:00.000000","SDA","1"
"EXAM440.55.BG","Delonghi Rivelia EXAM440.55.BG ","DK","121301","Espressomaskiner","5999.2","7499.0","3418.42","LOG-PCN","14","2025-03-19 00:00:00.000000","SDA","1"
"EICO-6334","EICO Era C 80 X ","SKOUNO","110204","Innebygde ventilatorer","2876.0","3595.0","2650.79","LOG-PCN","0","2023-11-09 00:00:00.000000","MDA","2"
"NRK619EPW4","Gorenje NRK619EPW4 ","TRETNO","110703","Frittstående kombiskap","4799.2","5999.0","4345.92","LOG-PCN","57","2026-04-06 00:00:00.000000","MDA","1"
"KUL19","Silverline KUL19 ","SKOUNO","110299","Tilbehør til ventilatorer","511.2","639.0","885.64","LOG-PCN","1",,"SDA","1"
"YAK-500508","YAKINIKU BBQ skewers 2.5 mm (2 0 pieces)","TRETSE","1802030701","Tillbehör till grillar","207.2","259.0","200.06",,"16","2024-12-20 00:00:00.000000","SDA","1"
