"navision_company","hq_company","website","shopshortname","country","short_hostname"
"A Hvidevare","whiteaway","www.whiteaway.com","DK","DK","whiteaway.com"
"Enemo Sverige","enemo_se","www.enemo.se","ENEMO","SE","enemo.se"
"Lavpris Hvidevarer","lavprishvidevarer_dk","www.lavprishvidevarer.dk","LPH","DK","lavprishvidevarer.dk"
"SG Bilka","hvidevarer_bilka_dk","bilka.whiteaway.dk","BILKA","DK","bilka.whiteaway.dk"
"SG Føtex","hvidevarer_foetex_dk","foetex.whiteaway.dk","FOETEX","DK","foetex.whiteaway.dk"
"SG Wupti","hvidevarer_wupti_com",,"WUPTI","DK",
"SOS","whiteaway_red","www.skousen.dk","SKOU","DK","skousen.dk"
"Skousen Norge","skousen_no","www.skousen.no","SKOUNO","NO","skousen.no"
"Tretti NO","tretti_no","www.tretti.no","TRETNO","NO","tretti.no"
"Tretti SE","tretti_se","www.tretti.se","TRETSE","SE","tretti.se"
"Whiteaway Norge","whiteaway_no","www.whiteaway.no","NO","NO","whiteaway.no"
"Whiteaway Sverige","whiteaway_se","www.whiteaway.se","SE","SE","whiteaway.se"
